"$submission_id";"$created";"Hvilke roller har du i musikkarbeidet ditt?";"Rolle i musikkproduksjon";"Din situasjon som musiker";"Hvor lang erfaring har du med musikk?";"Hvilken aldersgruppe tilhører du?";"Hovedsjangre du jobber med?.Pop";"Hovedsjangre du jobber med?.Hip hop / RnB";"Hovedsjangre du jobber med?.EDM / elektronisk";"Hovedsjangre du jobber med?.Rock / metal";"Hovedsjangre du jobber med?.Indie / alternativ";"Hovedsjangre du jobber med?.Film-/spillmusikk / mediekomposisjon";"Hovedsjangre du jobber med?.Jazz";"Hovedsjangre du jobber med?.Klassisk ";"Hovedsjangre du jobber med?.Samtidsmusikk";"Hovedsjangre du jobber med?.Annet";"Har du brukt KI i musikk?";"Hva har du brukt KI til?.Idéutvikling (melodier, akkordprogresjoner, beats, loops)";"Hva har du brukt KI til?.Tekst/lyrics";"Hva har du brukt KI til?.Lyddesign (presets, samples, sound design)";"Hva har du brukt KI til?.Mixing / Mastering";"Hva har du brukt KI til?.Markedsføring";"Hva har du brukt KI til?.Demixing";"Hva har du brukt KI til?.Transkribering";"Hva har du brukt KI til?.Vokal (KI-generert sangstemme)";"Hva har du brukt KI til?.Annet (spesifiser):";"Spesifiser hva du har brukt KI til:";"Hvorfor bruker du ikke KI?.Har ikke hatt behov";"Hvorfor bruker du ikke KI?.Vet for lite om KI-verktøy";"Hvorfor bruker du ikke KI?.Foretrekker tradisjonell arbeidsflyt";"Hvorfor bruker du ikke KI?.Stoler ikke på kvaliteten";"Hvorfor bruker du ikke KI?.Etiske eller juridiske bekymringer";"Hvorfor bruker du ikke KI?.Kostnad";"Hvorfor bruker du ikke KI?.Annet";"Hvor ofte bruker du KI i musikk?";"Jeg føler at KI-generert musikk truer min framtid som musiker.";"Jeg er bekymret for at inntektene mine vil synke på grunn av KI.";"KI-verktøy kan gjøre meg mer effektiv i arbeidet mitt.";"Jeg er nysgjerrig på å lære mer om KI-verktøy for musikk.";"KI kan ikke erstatte min kreativitet som musiker.";"Jeg ser først og fremst på KI som et nyttig verktøy, ikke som en konkurrent.";"KI-generert musikk kan være like bra som menneskeskapt musikk";"Hvor sannsynlig er det at du kommer til å bruke KI-verktøy i musikk de neste to årene?";"Hva vil du eventuelt bruke KI til framover?.Idéutvikling (melodier, beats, akkorder)";"Hva vil du eventuelt bruke KI til framover?.Arrangement / strukturering av låter";"Hva vil du eventuelt bruke KI til framover?.Lyddesign / sound design";"Hva vil du eventuelt bruke KI til framover?.Mixing / Mastering";"Hva vil du eventuelt bruke KI til framover?.Tekstarbeid / lyrics";"Hva vil du eventuelt bruke KI til framover?.Forprosjekter/skisser til kunder";"Hva vil du eventuelt bruke KI til framover?.Markedsføring";"Hva vil du eventuelt bruke KI til framover?.Transkribering";"Hva vil du eventuelt bruke KI til framover?.Vokal (KI-generert sangstemme)";"Hva vil du eventuelt bruke KI til framover?.Demixing";"Hva vil du eventuelt bruke KI til framover?.Annet";"Hva vil du eventuelt bruke KI til framover?.Ingen planer om å bruke KI";"Er det noe mer du vil legge til om KI og musikk?";"$answer_time_ms"
"39819908";"2025-12-18T10:08:55+01:00";"Hobby";"";"";"mer enn 8 år";"35–44 år";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"1";"KI er uforenlig med å lage musikk.";"0";"0";"0";"0";"1";"0";"0";"Sjelden (noen ganger i året)";"Helt enig";"Helt enig";"Helt uenig";"Helt uenig";"Helt enig";"Helt uenig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"166098"
"39821514";"2025-12-18T11:09:12+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"1–3 år";"35–44 år";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"1";"0";"0";"0";"0";"";"Litt enig";"Verken enig eller uenig";"Litt uenig";"Verken enig eller uenig";"Verken enig eller uenig";"Verken enig eller uenig";"Litt uenig";"Verken sannsynlig eller usannsynlig";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"";"82100"
"39847793";"2025-12-22T10:53:05+01:00";"Artist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"35–44 år";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"Ja";"1";"1";"1";"0";"0";"0";"0";"1";"0";"";"0";"0";"0";"0";"0";"0";"0";"Av og til (ca. månedlig)";"Helt uenig";"Helt uenig";"Helt enig";"Helt enig";"Helt enig";"Helt enig";"Litt enig";"Svært sannsynlig";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"Love it!";"116307"
"39847797";"2025-12-22T10:53:33+01:00";"Hobby";"";"";"mer enn 8 år";"25–34 år";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"1";"0";"1";"0";"0";"";"Litt enig";"Helt enig";"Verken enig eller uenig";"Helt uenig";"Helt enig";"Helt uenig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"";"142086"
"39847928";"2025-12-22T11:13:47+01:00";"Musikkprodusent";"Jobber deltid/frilans ved siden av annet arbeid";"";"mer enn 8 år";"35–44 år";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"Ja";"0";"1";"0";"1";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Helt enig";"Helt enig";"Litt enig";"Helt uenig";"Litt uenig";"Litt uenig";"Verken enig eller uenig";"Ganske sannsynlig";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"";"116694"
"39848083";"2025-12-22T11:36:39+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"1";"0";"0";"0";"0";"";"Helt uenig";"Helt uenig";"Litt enig";"Litt enig";"Helt enig";"Litt enig";"Litt enig";"Svært sannsynlig";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"";"181250"
"39848101";"2025-12-22T11:42:42+01:00";"Musikkprodusent";"Jobber deltid/frilans ved siden av annet arbeid";"";"mer enn 8 år";"25–34 år";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"Ja";"1";"1";"1";"1";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Svært ofte (nesten hver uke eller oftere)";"Litt uenig";"Helt enig";"Helt enig";"Helt enig";"Verken enig eller uenig";"Helt enig";"Litt uenig";"Svært sannsynlig";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"Det er klare begrensinger i dag med KI-verktøy, da spesielt KI-musikk generatorer. Derimot så vil denne teknologien trolig utvikle seg veldig fort, på samme vis som den har gjort siden lansering. AIVA i 2016 vs Suno i dag er en massiv forskjell.   Som musikkprodusent bruker jeg verktøyet for å gi nytt liv til gamle demoer, for å støtte idéutvikling i komposisjon og lydestetikker. Tekstgenerering er i min opplevelse bra kun når utgangspunktet er menneskelig skrevet, der KI videreutvikler dette, og mennesket igjen videreutvikler KI-forslaget til å bli en fullstendig tekst. Eksempelvis når jeg har manglet et vers men vet hva innholdet i verset bør være for å gi mening kan KI komme med svært mange gode forslag.";"469579"
"39848833";"2025-12-22T13:10:02+01:00";"Artist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"25–34 år";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"Ja";"1";"0";"1";"0";"0";"0";"0";"1";"0";"";"0";"0";"0";"0";"0";"0";"0";"Ofte (flere ganger i måneden)";"Litt uenig";"Litt uenig";"Helt enig";"Helt enig";"Helt enig";"Helt enig";"Litt uenig";"Svært sannsynlig";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"";"218694"
"39849215";"2025-12-22T13:42:23+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Ja";"0";"1";"0";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Helt uenig";"Litt uenig";"Verken enig eller uenig";"Helt enig";"Helt enig";"Litt enig";"Litt uenig";"Ganske sannsynlig";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"";"174917"
"39849337";"2025-12-22T13:54:27+01:00";"Utøvende musiker";"";"Annet";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"1";"0";"0";"1";"0";"1";"";"Litt enig";"Helt enig";"Litt enig";"Helt enig";"Helt enig";"Litt enig";"Helt uenig";"Svært sannsynlig";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"Jeg vil bruke KI i samarbeid med komponister, hvor musikk delvis skapes av komponist, delvis av utøver, delvis av KI. KI er også nyttig i arbeid med søknader og rapporter, korrekturlesing av booklet/konsertprogrammer, innhenting av kildemateriale, mm.";"260868"
